,Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
126,680000.0,7,2369.0,21,21,2010,287.0,177.0,,Лабораторний,провулок,Печерський,
127,139000.0,2,1829.0,20,21,2018,76.0,31.0,19.0,Конєва,,,26.0
128,347700.0,4,1900.0,4,25,2011,183.0,100.0,17.0,Шаповала,,,66.0
129,85000.0,2,1328.0,4,24,None,64.0,30.0,20.0,Дніпровська,вулиця,Оболонський,14.0
130,35600.0,1,989.0,10,26,None,36.0,15.0,12.0,Клеманська,вулиця,Дарницький,9.0
131,85000.0,3,1133.0,9,15,1999,75.0,42.0,8.0,Григоренка,,,25.0
132,46000.0,1,1022.0,4,5,1963,45.0,,10.0,Туполєва,,,
133,125000.0,2,2358.0,3,4,1860,53.0,42.0,5.0,Хмельницького,,,6.0
134,530000.0,3,3926.0,4,15,2017,135.0,50.0,40.0,Саперне Поле,вулиця,Печерський,45.0
135,229000.0,3,2140.0,7,25,2007,107.0,50.0,,Героїв Сталінграда,проспект,Оболонський,
136,117000.0,3,1401.0,14,26,None,,,,Дніпровська,вулиця,Оболонський,
137,110000.0,2,2000.0,3,9,1971,55.0,,,Тарасівська,вулиця,Голосіївський,
138,92900.0,3,1021.0,4,5,1956,91.0,56.0,11.0,Краківська,вулиця,Дніпровський,24.0
139,77500.0,1,1845.0,5,9,2018,42.0,17.0,15.0,Юнацька,вулиця,Святошинський,10.0
139,77500.0,1,1845.0,5,9,2018,42.0,17.0,15.0,Юнацька,вулиця,Солом'янський,10.0
140,40500.0,1,1067.0,4,26,None,,,,Клеманська,вулиця,Дарницький,
141,136000.0,3,1462.0,2,16,1998,93.0,50.0,28.0,Героїв Сталінграда,проспект,Оболонський,15.0
142,499000.0,3,4229.0,None,None,None,118.0,,,Драгомирова,,,
143,220000.0,2,2619.0,3,8,1948,84.0,52.0,13.0,*** not found,,,19.0
144,125000.0,3,1147.0,23,26,2011,109.0,83.0,16.0,Драгоманова,вулиця,Дарницький,10.0
145,100000.0,2,1818.0,None,None,1958,55.0,,,Українки,,,
